column,row,exists,hasN,hasE,hasS,hasW
A,1,True,False,True,False,True
A,2,False,False,False,False,False
A,3,False,False,False,False,False
A,4,True,True,False,True,False
A,5,False,False,False,False,False
A,6,False,False,False,False,False
B,1,False,False,False,False,False
B,2,False,False,False,False,False
B,3,True,False,True,False,True
B,4,False,False,False,False,False
B,5,True,True,True,True,True
B,6,False,False,False,False,False
C,5,False,False,False,False,False
C,6,True,False,True,False,True
D,5,False,False,False,False,False
D,6,False,False,False,False,False
E,1,True,True,False,True,False
E,2,False,False,False,False,False
E,3,True,True,True,True,True
E,4,False,False,False,False,False
E,5,True,True,False,True,False
E,6,False,False,False,False,False
F,1,False,False,False,False,False
F,2,True,True,True,True,True
F,3,False,False,False,False,False
F,4,False,False,False,False,False
F,5,False,False,False,False,False
F,6,True,True,True,False,True
